2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,343.06,467.98,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,328.70,448.39,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,314.81,429.43,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,285.46,389.40,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,385.01,525.20,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,314.31,428.75,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,365.37,498.41,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,279.15,380.79,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,232.82,317.60,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,328.50,448.12,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,321.94,439.17,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,340.14,464.00,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,235.07,320.67,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,341.88,466.36,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,306.48,418.08,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,313.77,428.02,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,235.19,320.83,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,382.98,522.43,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,303.83,414.46,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,292.31,398.74,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,261.58,356.83,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,318.98,435.13,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,258.52,352.65,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,308.11,420.29,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,304.80,415.78,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,324.72,442.95,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,363.48,495.83,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,329.05,448.86,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,293.98,401.02,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,286.31,390.56,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,244.36,333.33,"254,220",,,,,,,,,,,
