2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,360.48,523.32,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,330.82,480.27,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,350.75,509.19,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,324.20,470.65,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,379.69,551.20,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,353.61,513.34,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,389.36,565.25,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,284.35,412.80,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,256.71,372.67,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,339.13,492.32,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,326.87,474.53,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,440.75,639.85,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,247.01,358.59,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,374.41,543.54,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,314.98,457.26,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,322.83,468.66,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,255.71,371.23,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,364.59,529.29,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,317.44,460.83,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,317.15,460.41,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,274.52,398.52,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,317.57,461.03,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,269.20,390.80,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,346.39,502.86,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,323.58,469.74,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,333.88,484.71,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,350.85,509.34,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,367.18,533.04,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,294.79,427.96,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,289.19,419.82,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,221.67,321.80,"254,220",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,314.70,456.86,"241,426",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,320.23,464.89,"227,117",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,307.33,446.16,"221,048",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,186.00,270.02,"213,582",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,289.90,420.85,"207,664",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,308.37,447.67,"206,535",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,276.55,401.47,"201,225",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,322.97,468.86,"199,421",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,284.35,412.80,"194,429",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,263.73,382.87,"194,387",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,296.54,430.50,"188,154",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,384.09,557.59,"187,452",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,511.01,741.85,"183,219",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,331.22,480.84,"182,534",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,310.36,450.56,"181,455",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,326.11,473.42,"180,661",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,234.28,340.11,"173,112",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,320.90,465.85,"167,522",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,271.23,393.75,"164,832",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,341.55,495.84,"142,941",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,333.26,483.80,"131,320",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,300.29,435.94,"129,900",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,283.81,412.02,"128,292",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,268.83,390.27,"120,424",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,321.72,467.04,"106,587",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,412.36,598.63,"106,166",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,371.92,539.92,"99,005",,,,,,,,,,,
59,BOI,Boise Air Terminal,Boise,ID,297.57,431.99,"97,566",,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,249.08,361.59,"97,139",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,353.48,513.16,"96,550",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,479.01,695.39,"92,905",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,413.74,600.63,"91,893",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,338.53,491.45,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,321.10,466.15,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,481.65,699.23,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,300.85,436.75,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,312.68,453.92,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,264.21,383.56,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,296.20,430.00,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,266.60,387.03,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,207.76,301.61,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,316.87,460.01,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,296.48,430.40,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,401.11,582.29,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,326.60,474.13,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,347.32,504.21,"62,393",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,306.87,445.49,"62,011",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,387.00,561.81,"57,556",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,337.02,489.25,"57,118",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,264.81,384.43,"57,022",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,384.24,557.81,"54,946",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,360.55,523.42,"52,889",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,394.85,573.21,"52,418",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,460.91,669.11,"49,200",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,468.89,680.69,"49,148",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,390.88,567.45,"48,798",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,336.26,488.16,"48,278",,,,,,,,,,,
89,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,305.00,442.78,"47,981",,,,,,,,,,,
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,206.37,299.59,"44,410",,,,,,,,,,,
91,MYR,Myrtle Beach International,Myrtle Beach,SC,322.60,468.32,"44,035",,,,,,,,,,,
