Average Domestic Airline Itinerary Fares By Origin City for 2011 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,394.88,513.76," 981,228 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,378.78,492.80," 795,315 ",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,368.74,479.74," 768,501 ",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,319.57,415.77," 739,773 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,469.86,611.31," 652,199 ",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,363.49,472.91," 647,461 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,417.41,543.07," 631,155 ",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,322.22,419.22," 592,829 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,271.10,352.71," 585,781 ",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,351.65,457.51," 569,471 ",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,390.96,508.66," 521,817 ",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,406.51,528.89," 501,601 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,273.50,355.83," 497,289 ",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,412.68,536.91," 467,902 ",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,380.43,494.95," 437,154 ",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,378.55,492.51," 430,570 ",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,265.28,345.14," 425,537 ",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,477.47,621.20," 425,283 ",,,,,,,,,,,
