,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
LAX,352.99,336.82,342.6,338.08,319.71,339.33,360.48,370.01,389.39,343.06,369.76,394.88,401.84,411.92,422.89,398.62,355.9,352.52,352.79,356.56,291.59,322.2
ORD,409.26,374.32,338.23,339.96,320.58,313.59,330.82,326.17,361.46,328.7,355.73,378.78,385.05,400.51,415.75,359.19,317.98,317.14,338.55,344.89,276.92,284.93
ATL,339.23,328.77,305.63,304.49,294.35,312.56,350.75,357.78,351.23,314.81,334.76,368.74,365.82,397.86,424.95,390.24,350.96,350.91,360.85,370.49,299.23,303.74
DEN,434.58,412.28,366.38,341.96,325.26,340.28,324.2,316.79,325.86,285.46,295.79,319.57,320.91,327.21,336.73,326.65,311.95,298.97,302.55,300.48,252.89,271.37
EWR,449.52,421.09,399.04,407.35,389.71,385.84,379.69,379.98,428.99,385.01,450.02,469.86,477.06,487.5,492.22,472.14,429.75,401.2,403.74,407.21,305.94,313.97
SEA,336.56,319.69,311.93,320.81,316.6,328.96,353.61,354.13,353.61,314.31,343.97,363.49,382.8,380.51,379.42,367.0,332.4,335.44,337.31,336.51,287.04,308.81
DFW,441.85,413.06,386.03,393.59,369.48,368.89,389.36,364.99,406.16,365.37,402.98,417.41,430.71,415.66,425.24,383.25,348.99,362.79,383.43,402.57,323.76,319.66
PHX,267.64,250.89,248.33,251.06,250.33,269.04,284.35,283.19,305.19,279.15,310.75,322.22,331.83,348.4,359.32,349.17,327.14,327.12,338.57,348.77,280.89,292.23
MCO,279.28,265.63,267.78,263.16,241.75,240.57,256.71,253.0,260.03,232.82,245.48,271.1,278.43,294.75,312.4,291.16,253.87,249.33,249.74,251.75,215.74,220.15
BOS,406.26,381.5,355.47,362.09,316.34,315.68,339.13,354.64,391.3,328.5,335.43,351.65,371.25,373.46,381.96,377.74,349.34,335.98,328.21,337.73,290.54,329.44
