,date,price ($/Gal)
0,2023-03-13,2.773
1,2023-03-10,2.778
2,2023-03-09,2.729
3,2023-03-08,2.8
4,2023-03-07,2.832
5,2023-03-06,2.929
6,2023-03-03,2.987
7,2023-03-02,2.911
8,2023-03-01,3.016
9,2023-02-28,2.973
10,2023-02-27,3.069
11,2023-02-24,2.957
12,2023-02-23,2.766
13,2023-02-22,2.78
14,2023-02-21,2.6
15,2023-02-17,2.541
16,2023-02-16,2.628
17,2023-02-15,2.693
18,2023-02-14,2.843
19,2023-02-13,2.807
20,2023-02-10,2.796
21,2023-02-09,2.802
22,2023-02-08,2.886
23,2023-02-07,2.879
24,2023-02-06,2.69
25,2023-02-03,2.577
26,2023-02-02,2.753
27,2023-02-01,2.965
28,2023-01-31,3.437
29,2023-01-30,3.63
30,2023-01-27,3.788
31,2023-01-26,3.992
32,2023-01-25,3.796
33,2023-01-24,3.735
34,2023-01-23,3.839
35,2023-01-20,3.916
36,2023-01-19,3.603
37,2023-01-18,3.558
38,2023-01-17,3.567
39,2023-01-13,3.817
40,2023-01-12,3.503
41,2023-01-11,3.471
42,2023-01-10,3.315
43,2023-01-09,3.4
44,2023-01-06,3.191
45,2023-01-05,3.091
46,2023-01-04,3.078
47,2023-01-03,3.107
48,2022-12-30,3.333
49,2022-12-29,3.355
50,2022-12-28,3.308
51,2022-12-27,3.29
52,2022-12-23,3.049
53,2022-12-22,2.935
54,2022-12-21,2.916
55,2022-12-20,2.756
56,2022-12-19,2.802
57,2022-12-16,2.883
58,2022-12-15,3.035
59,2022-12-14,3.05
60,2022-12-13,2.874
61,2022-12-12,2.733
62,2022-12-09,2.588
63,2022-12-08,2.648
64,2022-12-07,2.438
65,2022-12-06,2.56
66,2022-12-05,2.628
67,2022-12-02,2.8
68,2022-12-01,2.851
69,2022-11-30,2.935
70,2022-11-29,2.85
71,2022-11-28,2.72
72,2022-11-25,2.799
73,2022-11-23,2.873
74,2022-11-22,3.035
75,2022-11-21,3.125
76,2022-11-18,3.145
77,2022-11-17,3.137
78,2022-11-16,3.232
79,2022-11-15,3.242
80,2022-11-14,3.141
81,2022-11-10,3.096
82,2022-11-09,3.179
83,2022-11-08,3.368
84,2022-11-07,3.449
85,2022-11-04,3.596
86,2022-11-03,3.605
87,2022-11-02,3.371
88,2022-11-01,3.309
89,2022-10-31,4.183
90,2022-10-28,4.365
91,2022-10-27,4.099
92,2022-10-26,4.013
93,2022-10-25,3.764
94,2022-10-24,3.749
95,2022-10-21,3.389
96,2022-10-20,3.282
97,2022-10-19,3.407
98,2022-10-18,3.504
99,2022-10-17,3.711
100,2022-10-14,3.647
101,2022-10-13,3.81
102,2022-10-12,3.623
103,2022-10-11,3.627
104,2022-10-07,3.928
105,2022-10-06,3.803
106,2022-10-05,3.641
107,2022-10-04,3.44
108,2022-10-03,3.322
109,2022-09-30,3.522
110,2022-09-29,3.752
111,2022-09-28,3.443
112,2022-09-27,3.244
113,2022-09-26,3.052
114,2022-09-23,3.112
115,2022-09-22,3.25
116,2022-09-21,3.2
117,2022-09-20,3.192
118,2022-09-19,3.056
119,2022-09-16,2.942
120,2022-09-15,2.968
121,2022-09-14,3.145
122,2022-09-13,3.328
123,2022-09-12,3.38
124,2022-09-09,3.349
125,2022-09-08,3.309
126,2022-09-07,3.318
127,2022-09-06,3.306
128,2022-09-02,3.354
129,2022-09-01,3.27
130,2022-08-31,3.422
131,2022-08-30,3.547
132,2022-08-29,3.651
133,2022-08-26,3.753
134,2022-08-25,3.691
135,2022-08-24,3.766
136,2022-08-23,3.554
137,2022-08-22,3.489
138,2022-08-19,3.416
139,2022-08-18,3.367
140,2022-08-17,3.319
141,2022-08-16,3.211
142,2022-08-15,3.21
143,2022-08-12,3.259
144,2022-08-11,3.267
145,2022-08-10,3.213
146,2022-08-09,3.078
147,2022-08-08,2.941
148,2022-08-05,2.968
149,2022-08-04,3.063
150,2022-08-03,3.19
151,2022-08-02,3.18
152,2022-08-01,3.245
153,2022-07-29,3.402
154,2022-07-28,3.521
155,2022-07-27,3.585
156,2022-07-26,3.436
157,2022-07-25,3.343
158,2022-07-22,3.334
159,2022-07-21,3.379
160,2022-07-20,3.404
161,2022-07-19,3.445
162,2022-07-18,3.465
163,2022-07-15,3.542
164,2022-07-14,3.538
165,2022-07-13,3.582
166,2022-07-12,3.518
167,2022-07-11,3.607
168,2022-07-08,3.524
169,2022-07-07,3.5
170,2022-07-06,3.246
171,2022-07-05,3.411
172,2022-07-01,3.779
173,2022-06-30,3.753
174,2022-06-29,3.872
175,2022-06-28,4.04
176,2022-06-27,4.133
177,2022-06-24,4.253
178,2022-06-23,4.066
179,2022-06-22,4.192
180,2022-06-21,4.21
181,2022-06-17,4.21
182,2022-06-16,4.401
183,2022-06-15,4.319
184,2022-06-14,4.201
185,2022-06-13,4.079
186,2022-06-10,4.172
187,2022-06-09,4.213
188,2022-06-08,4.08
189,2022-06-07,4.086
190,2022-06-06,4.152
191,2022-06-03,4.104
192,2022-06-02,4.052
193,2022-06-01,3.933
194,2022-05-31,3.815
195,2022-05-27,3.852
196,2022-05-26,3.823
197,2022-05-25,3.741
198,2022-05-24,3.636
199,2022-05-23,3.517
200,2022-05-20,3.504
201,2022-05-19,3.564
202,2022-05-18,3.472
203,2022-05-17,3.645
204,2022-05-16,3.827
205,2022-05-13,4.021
206,2022-05-12,4.009
207,2022-05-11,4.094
208,2022-05-10,4.123
209,2022-05-09,3.961
210,2022-05-06,4.155
211,2022-05-05,4.18
212,2022-05-04,4.326
213,2022-05-03,4.203
214,2022-05-02,4.466
215,2022-04-29,4.529
216,2022-04-28,5.066
217,2022-04-27,4.789
218,2022-04-26,4.52
219,2022-04-25,4.227
220,2022-04-22,3.881
221,2022-04-21,3.865
222,2022-04-20,3.903
223,2022-04-19,3.799
224,2022-04-18,3.848
225,2022-04-14,3.848
226,2022-04-13,3.724
227,2022-04-12,3.502
228,2022-04-11,3.343
229,2022-04-08,3.406
230,2022-04-07,3.367
231,2022-04-06,3.591
232,2022-04-05,3.629
233,2022-04-04,3.811
234,2022-04-01,3.625
235,2022-03-31,3.835
236,2022-03-30,4.0
237,2022-03-29,4.011
238,2022-03-28,3.481
239,2022-03-25,3.825
240,2022-03-24,3.962
241,2022-03-23,3.842
242,2022-03-22,3.588
243,2022-03-21,3.626
244,2022-03-18,3.372
245,2022-03-17,3.29
246,2022-03-16,2.954
247,2022-03-15,2.826
248,2022-03-14,3.07
249,2022-03-11,3.246
250,2022-03-10,3.117
251,2022-03-09,3.198
252,2022-03-08,4.1
253,2022-03-07,3.712
254,2022-03-04,3.588
255,2022-03-03,3.317
256,2022-03-02,3.383
257,2022-03-01,3.04
258,2022-02-28,2.856
259,2022-02-25,2.692
260,2022-02-24,2.721
261,2022-02-23,2.671
262,2022-02-22,2.627
263,2022-02-18,2.599
264,2022-02-17,2.584
265,2022-02-16,2.61
266,2022-02-15,2.685
267,2022-02-14,2.789
268,2022-02-11,2.8
269,2022-02-10,2.687
270,2022-02-09,2.707
271,2022-02-08,2.684
272,2022-02-07,2.732
273,2022-02-04,2.681
274,2022-02-03,2.652
275,2022-02-02,2.595
276,2022-02-01,2.578
277,2022-01-31,2.58
278,2022-01-28,2.593
279,2022-01-27,2.653
280,2022-01-26,2.564
281,2022-01-25,2.459
282,2022-01-24,2.467
283,2022-01-21,2.519
284,2022-01-20,2.484
285,2022-01-19,2.54
286,2022-01-18,2.558
287,2022-01-14,2.486
288,2022-01-13,2.444
289,2022-01-12,2.444
290,2022-01-11,2.429
291,2022-01-10,2.351
292,2022-01-07,2.329
293,2022-01-06,2.315
294,2022-01-05,2.263
295,2022-01-04,2.247
296,2022-01-03,2.195
297,2021-12-31,2.161
298,2021-12-30,2.213
299,2021-12-29,2.209
300,2021-12-28,2.205
301,2021-12-27,2.192
302,2021-12-23,2.172
303,2021-12-22,2.142
304,2021-12-21,2.094
305,2021-12-20,2.02
306,2021-12-17,2.075
307,2021-12-16,2.112
308,2021-12-15,2.098
